2026-08-03 02:25:26 | INFO     | nis.database.db_manager | Inserted history entry id=23
2026-08-03 02:25:32 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 02:25:37 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 02:25:39 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal', 'simpson_1_3', 'simpson_3_8', 'taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
2026-08-03 02:29:25 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:29:25 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:29:39 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:29:40 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:29:41 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:29:54 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:29:54 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:30:59 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:31:00 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:31:00 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:32:24 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:32:24 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:33:57 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:33:58 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:33:59 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:39:17 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
